Viêm phổi,"Viêm phổi là tình trạng viêm nhiễm nhu mô phổi, bao gồm phế nang, túi phế nang, ống phế nang, tổ chức liên kết và tiểu phế quản tận cùng. Phổi có thể chứa chất lỏng hoặc mủ, gây ho có đờm, sốt, ớn lạnh và khó thở. Nguyên nhân chủ yếu do vi khuẩn, virus, nấm hoặc hóa chất. Bệnh được phân loại theo nguyên nhân (vi khuẩn, virus, nấm, hóa chất) và nguồn lây nhiễm (cộng đồng, bệnh viện). Viêm phổi đặc biệt nguy hiểm ở trẻ sơ sinh, trẻ nhỏ, người trên 65 tuổi, hoặc người có bệnh nền, hệ miễn dịch yếu. Triệu chứng từ nhẹ (giống cảm lạnh/cúm) đến nặng, tùy thuộc vào loại tác nhân, tuổi tác và sức khỏe tổng thể."
Trào ngược dạ dày thực quản,"Trào ngược dạ dày thực quản (GERD) là bệnh lý tiêu hóa phổ biến, xảy ra khi axit dạ dày trào ngược lên thực quản, gây kích ứng niêm mạc và triệu chứng khó chịu. Nguyên nhân chủ yếu do cơ vòng dưới thực quản hoạt động bất thường hoặc yếu, dẫn đến trào ngược axit thường xuyên. Các yếu tố nguy cơ bao gồm béo phì, thoát vị hoành, mang thai, hút thuốc, hen suyễn, tiểu đường, và rối loạn mô liên kết. Nếu không điều trị, GERD có thể gây biến chứng như viêm, chảy máu, hẹp thực quản, hoặc thực quản Barrett (tiền ung thư).Bệnh không dễ điều trị dứt điểm, dễ tái phát, nhưng có thể kiểm soát bằng phác đồ điều trị kết hợp thay đổi lối sống và thói quen ăn uống."
Viêm dạ dày,"Viêm dạ dày là tình trạng niêm mạc dạ dày bị tổn thương, bào mòn do vi khuẩn (chủ yếu là H.pylori), acid dạ dày, thuốc (NSAIDs), rượu hoặc thói quen ăn uống không lành mạnh. Việc thăm khám và điều trị sớm tại cơ sở y tế là cần thiết để ngăn ngừa biến chứng và cải thiện chất lượng sống."
Viêm loét dạ dày,"Viêm loét dạ dày là tình trạng tổn thương gây viêm và loét niêm mạc dạ dày do lớp bảo vệ niêm mạc bị bào mòn, để lộ lớp mô bên dưới. Bệnh có thể gây xuất huyết tiêu hóa, nguy hiểm đến tính mạng nếu không điều trị kịp thời. Viêm loét dạ dày gặp ở mọi lứa tuổi, đặc biệt ở người già (chiếm 60% ca bệnh)."
Viêm thực quản,"Viêm thực quản là tình trạng viêm sưng niêm mạc thực quản, thường do trào ngược acid dạ dày, nhiễm trùng, thuốc, hoặc tăng bạch cầu ái toan. Bệnh gây khó nuốt, đau ngực, nóng rát ngực, và có thể dẫn đến biến chứng như loét, teo hẹp, hoặc ung thư thực quản nếu không điều trị kịp thời. Các yếu tố nguy cơ bao gồm chế độ ăn không lành mạnh, hút thuốc, béo phì, xạ trị, hoặc hệ miễn dịch yếu. Điều trị thường bằng thuốc nội khoa dựa trên nguyên nhân và tình trạng bệnh nhân."
Xuất huyết dạ dày,"Xuất huyết dạ dày là tình trạng niêm mạc dạ dày bị tổn thương gây chảy máu, dẫn đến nôn ra máu, đi ngoài phân đen hoặc ra máu. Đây là biến chứng cấp tính nguy hiểm, có thể gây tử vong nếu không cấp cứu kịp thời. Bệnh thường gặp ở nam giới uống nhiều rượu bia hoặc trẻ nhỏ bị nhiễm trùng tiêu hóa."
Đau dạ dày,"Đau dạ dày là tình trạng tổn thương hoặc rối loạn vận động dạ dày, gây tăng tiết axit dịch vị, dẫn đến đau âm ỉ, nóng rát hoặc tức ở vùng thượng vị. Đau có thể xuất hiện khi đói, ban đêm hoặc sau ăn, lan ra sau lưng, kèm cảm giác khó chịu ngắn hoặc kéo dài. Nếu không điều trị sớm, bệnh có thể gây biến chứng nguy hiểm."
Trào ngược họng thanh quản,"Trào ngược họng – thanh quản (LPR) là tình trạng acid từ dịch dạ dày di chuyển ngược lên thực quản, gây tổn thương vùng họng và thanh quản. Bệnh có thể xảy ra ở bất kỳ ai, nhưng những người có chế độ ăn nhiều dầu mỡ, chua cay, thừa cân, mặc quần áo chật, hoặc stress có nguy cơ cao hơn. Nguyên nhân chính là do cơ thắt thực quản hoạt động kém, khiến dịch dạ dày chứa acid trào ngược lên họng."
Xơ gan,"Xơ gan là giai đoạn cuối của quá trình xơ hóa gan do các nguyên nhân như viêm gan virus, nghiện rượu mãn tính, dẫn đến sự hình thành mô sẹo làm cản trở chức năng gan. Gan bị tổn thương không thể xử lý chất dinh dưỡng, hormone, thuốc và chất độc hiệu quả, đồng thời giảm sản xuất protein."
Viêm đại tràng,"Viêm đại tràng là một bệnh tiêu hóa gây viêm nhiễm và tổn thương niêm mạc đại tràng, với mức độ từ nhẹ (niêm mạc dễ chảy máu) đến nặng (loét, sung huyết, áp-xe). Bệnh có thể ở dạng cấp tính hoặc mãn tính, gây triệu chứng như đau bụng, rối loạn đại tiện (tiêu chảy, táo bón), phân không thành khuôn, đầy hơi, chướng bụng."
Viêm ruột,"Viêm ruột là tình trạng viêm nhiễm tại đường tiêu hóa, chủ yếu ở ruột non và ruột già, bao gồm viêm ruột cấp tính (do nhiễm trùng) và mãn tính (như bệnh Crohn, viêm loét đại tràng). Nguyên nhân bao gồm nhiễm trùng (vi khuẩn, virus, ký sinh trùng), rối loạn miễn dịch, tác nhân vật lý/hóa học, hoặc lối sống không lành mạnh. Viêm ruột gây triệu chứng như đau bụng, tiêu chảy, sốt, đầy hơi, mệt mỏi, xuất huyết tiêu hóa, sụt cân và có thể kèm theo biến chứng ngoài ruột (viêm khớp, loét miệng, viêm mắt). Nhận biết sớm triệu chứng giúp chẩn đoán và điều trị kịp thời, hạn chế biến chứng nguy hiểm."
Viêm trực tràng,"Viêm trực tràng là tình trạng viêm ở niêm mạc trực tràng, phần ống cơ nối ruột già với hậu môn. Bệnh có thể xảy ra cấp tính (ngắn hạn, tổn thương ở lớp niêm mạc bề mặt) hoặc mạn tính (kéo dài, tổn thương sâu vào lớp biểu mô). Viêm trực tràng gây khó chịu, đau, có thể dẫn đến chảy máu hoặc tiết dịch nhầy."
Táo bón,"Táo bón là tình trạng nhu động ruột không đều, đi đại tiện khó khăn hoặc ít hơn 3 lần/tuần, kéo dài vài tuần hoặc hơn. Táo bón mãn tính gây cản trở sinh hoạt, khiến người bệnh rặn nhiều khi đi vệ sinh, và có thể là triệu chứng của các bệnh lý khác."
Sỏi thận,"Sỏi thận là tình trạng lắng cặn muối và khoáng chất trong thận, phổ biến ở vùng nhiệt đới nóng ẩm như Việt Nam. Nguyên nhân bao gồm thiếu nước, dị dạng bẩm sinh, nhiễm trùng, chế độ ăn không khoa học, hoặc sử dụng một số thuốc lâu dài."
Suy thận,"Suy thận là tình trạng suy giảm chức năng thận, chia thành suy thận cấp (phát triển nhanh, có thể hồi phục) và suy thận mạn (tiến triển không hồi phục). Thận lọc máu, loại bỏ chất thải, cân bằng điện giải và điều hòa huyết áp. Suy thận xảy ra khi nephron bị tổn thương, gây tích tụ chất thải, dẫn đến biến chứng như giữ nước, tăng kali máu, bệnh tim mạch, thiếu máu, xương yếu, tổn thương thần kinh, giảm miễn dịch."
Đái tháo đường,"Bệnh đái tháo đường (tiểu đường) là rối loạn chuyển hóa đặc trưng bởi lượng đường trong máu cao hơn bình thường do thiếu hụt insulin, đề kháng insulin hoặc cả hai, gây rối loạn chuyển hóa đường, đạm, mỡ, và chất khoáng."
Máu nhiễm mỡ,"Máu nhiễm mỡ là tình trạng rối loạn lipid máu, khi cholesterol xấu (LDL) và/hoặc chất béo trung tính tăng, hoặc cholesterol tốt (HDL) giảm. Bệnh không có triệu chứng rõ ràng nhưng gây lắng đọng cholesterol, hình thành mảng xơ vữa, làm hẹp động mạch, dẫn đến nguy cơ nhồi máu cơ tim, đột quỵ não, hoặc tắc động mạch chi dưới. Máu nhiễm mỡ được chia thành hai loại: nguyên phát (di truyền) và thứ phát (do béo phì, đái tháo đường, rối loạn chuyển hóa). Xét nghiệm máu là cách duy nhất để phát hiện bệnh. Nếu không điều trị, bệnh có thể gây xơ vữa mạch máu, tăng nguy cơ biến chứng tim mạch."
Hạ đường huyết,"Hạ đường huyết là tình trạng lượng đường trong máu giảm quá thấp, thường do mất cân bằng giữa hormone insulin và glucagon. Insulin giúp giảm đường huyết bằng cách tăng chuyển hóa glucose, trong khi glucagon tăng đường huyết. Ở người tiểu đường, hạ đường huyết có thể xảy ra do sử dụng quá nhiều insulin, thuốc tiểu đường, chế độ ăn không hợp lý, bỏ bữa, tập thể dục mà không ăn đủ, hoặc uống nhiều rượu bia."
Suy giáp,"Suy giáp (nhược giáp) là rối loạn nội tiết do tuyến giáp không sản xuất đủ hormon (thyroxine, T3, T4), ảnh hưởng đến quá trình trao đổi chất. Bệnh gây ra các triệu chứng như mệt mỏi, táo bón, da khô, giảm trí nhớ, và có thể dẫn đến biến chứng nguy hiểm như hạ canxi máu, tổn thương tim, hoặc tử vong nếu không điều trị kịp thời. Nguyên nhân chính bao gồm teo tuyến giáp, viêm tuyến giáp tự miễn Hashimoto, và suy giáp thứ phát sau điều trị cường giáp; các nguyên nhân hiếm gặp là thiếu iod hoặc bệnh tuyến yên. Phụ nữ trên 60 tuổi, người có tiền sử gia đình mắc bệnh tự miễn, hoặc từng phẫu thuật/xạ trị tuyến giáp là đối tượng nguy cơ cao."
Trầm cảm,"Trầm cảm là một rối loạn tâm thần đặc trưng bởi khí sắc trầm buồn, mất hứng thú, và suy giảm năng lượng, do rối loạn hoạt động não bộ gây ra. Bệnh phổ biến hơn ở phụ nữ (tỷ lệ 2:1 so với nam giới), thường gặp ở người trưởng thành, và là nguyên nhân của hơn 50% trường hợp tự sát. Tỷ lệ mắc bệnh tăng cao, nhưng chỉ khoảng 25% bệnh nhân được chẩn đoán và điều trị kịp thời. Nguyên nhân bao gồm yếu tố nội sinh (di truyền, môi trường), căng thẳng (áp lực công việc, gia đình, mất mát), hoặc bệnh lý/chấn thương não."
Viêm xương khớp,"Viêm khớp là một nhóm bệnh lý ảnh hưởng đến khớp, với khoảng 100 loại khác nhau, phổ biến nhất là viêm xương khớp (OA) và viêm khớp dạng thấp (RA). Viêm xương khớp gây tổn thương sụn khớp, dẫn đến đau, cứng và hạn chế vận động, thường gặp ở người trên 40 tuổi, ảnh hưởng đến tay, cột sống, đầu gối, hông. Viêm khớp dạng thấp là bệnh tự miễn, tấn công màng hoạt dịch, gây sưng, đau, biến dạng khớp và có thể ảnh hưởng đến mắt, da, phổi. Các loại viêm khớp khác bao gồm viêm khớp nhiễm khuẩn, viêm khớp phản ứng, viêm cột sống dính khớp, gout, lupus ban đỏ, viêm khớp vảy nến và đau cơ xơ hóa."
Gout,"Bệnh gút (gout) là một dạng viêm khớp do tích tụ tinh thể urat từ sự tăng acid uric trong máu, gây đau đột ngột, dữ dội ở các khớp (thường là ngón chân cái, ngón tay, đầu gối). Nguyên nhân bao gồm yếu tố di truyền, cơ địa (nguyên phát) hoặc bệnh lý, thuốc (thứ phát). Bệnh liên quan đến chế độ ăn giàu purin (thịt, cá, hải sản) và ngày càng phổ biến, trẻ hóa, không còn là bệnh nhà giàu."
Viêm mũi dị ứng,"Viêm mũi dị ứng là tình trạng mũi bị kích ứng và viêm do các tác nhân môi trường như phấn hoa, lông động vật, khói bụi, nấm mốc, hoặc mạt nhà, không phải do virus hay vi khuẩn. Bệnh phổ biến ở Việt Nam, đặc biệt khi thời tiết giao mùa, ảnh hưởng đến chất lượng cuộc sống, gây khó chịu, mệt mỏi, biếng ăn, ngủ kém, và giảm tập trung, nhất là ở trẻ em. Có hai dạng chính: viêm mũi dị ứng theo mùa (xảy ra vào thời điểm nhất định) và quanh năm (kích ứng bất cứ khi gặp tác nhân dị ứng). Các triệu chứng kéo dài từ vài ngày đến vài tuần, có thể tự khỏi nhưng dễ tái phát, gây tổn thương niêm mạc mũi, nghẹt mũi, hoặc viêm họng nếu không được xử lý đúng cách."
Viêm xoang,"Viêm xoang là tình trạng viêm niêm mạc các xoang cạnh mũi, gây tích tụ chất nhầy, tạo điều kiện cho vi khuẩn phát triển dẫn đến nhiễm trùng. Bệnh phổ biến, chiếm 25-30% các ca khám Tai – Mũi – Họng, đặc biệt ở thành phố lớn. Viêm xoang được phân loại theo mức độ (cấp tính, bán cấp, mãn tính, tái phát) và vị trí (hàm trên, sàng, trán, bướm, đa xoang). Nguyên nhân bao gồm virus, vi khuẩn, dị ứng, polyp mũi, ô nhiễm, nấm, hút thuốc, bất thường giải phẫu, hoặc lạm dụng thuốc xịt mũi."
Viêm amidan,"Viêm amidan là tình trạng viêm nhiễm ở amidan, hai tổ chức bạch huyết nằm ở phía sau hầu họng, đóng vai trò bảo vệ đường hô hấp bằng cách ngăn chặn vi sinh vật gây bệnh và tiết kháng thể. Bệnh phổ biến ở mọi lứa tuổi, gây đau rát họng, khó nuốt, và có thể dẫn đến biến chứng nghiêm trọng như nhiễm khuẩn máu, viêm hô hấp, hoặc viêm cầu thận nếu không được chẩn đoán và điều trị kịp thời. Nguyên nhân bao gồm nhiễm virus (Adenovirus, virus cúm, Epstein-Barr...), vi khuẩn (từ bệnh sởi, ho gà), vệ sinh kém, thực phẩm không đảm bảo, môi trường ô nhiễm, hoặc thời tiết thay đổi đột ngột."
Viêm họng,"Viêm họng là tình trạng lớp niêm mạc cổ họng bị viêm nhiễm và tổn thương do sự tác động của các yếu tố khác nhau như vi khuẩn, virus, hóa chất độc hại… dẫn đến cổ họng bị đau rát. Người bệnh sẽ cảm thấy đau rát ở cổ họng, đặc biệt là khi nuốt. Các triệu chứng bệnh lý có thể khởi phát riêng biệt nhưng cũng có thể đi kèm với một số bệnh lý khác như bạch hầu, ho gà, sốt phát ban, viêm amidan,… Thông thường, bệnh sẽ tự khỏi hẳn sau một tuần, mà không để lại biến chứng gì. Tuy nhiên một số trường hợp bệnh có thể trở nặng nếu không được điều trị kịp thời."
Viêm thanh quản,"Viêm thanh quản là tình trạng viêm dây thanh âm và thanh quản, gây ảnh hưởng đến khả năng nói, thở và phát âm. Bệnh có thể là cấp tính (ngắn hạn) hoặc mạn tính (kéo dài trên 3 tuần). Nguyên nhân chính bao gồm nhiễm virus, sử dụng giọng nói quá mức, nhiễm khuẩn, hoặc tiếp xúc lâu dài với các tác nhân kích ứng như khói, hóa chất, trào ngược dạ dày, hoặc hút thuốc."
Cường giáp,"Cường giáp là tình trạng tuyến giáp hoạt động quá mức, sản xuất thừa hormone giáp, gây tăng nồng độ hormone giáp tự do trong máu. Đây là bệnh tự miễn với các triệu chứng điển hình như nhịp tim nhanh, mệt mỏi, sụt cân, run, lo lắng, lồi mắt, và các dấu hiệu cường giao cảm như sợ nóng, vã mồ hôi, mất ngủ. Ở người cao tuổi, triệu chứng có thể bao gồm rung nhĩ, suy tim, trầm cảm."
Hen suyễn,"Hen suyễn (hen phế quản) là một bệnh hô hấp mạn tính do viêm đường dẫn khí, gây thu hẹp đường thở, sưng và tăng tiết chất nhầy. Bệnh đặc trưng bởi các triệu chứng như khó thở, thở khò khè, tức ngực, ho và khó ngủ. Hen suyễn không thể chữa khỏi nhưng có thể kiểm soát bằng thuốc (thuốc chủ vận beta-2, corticosteroid dạng hít) và tránh các tác nhân khởi phát như dị ứng, khói bụi, hoặc không khí lạnh. Triệu chứng thay đổi theo thời gian, cần thăm khám định kỳ để điều chỉnh điều trị."
Bệnh vảy nến,"Bệnh vảy nến là một bệnh viêm da mãn tính phổ biến, ảnh hưởng khoảng 2-3% dân số thế giới, với tỷ lệ gia tăng tại Việt Nam. Bệnh xảy ra do rối loạn miễn dịch khiến tế bào da tăng sinh nhanh gấp 10 lần, dẫn đến tích tụ thành mảng da dày, đỏ, phủ vảy trắng hoặc bạc. Các yếu tố khởi phát bao gồm di truyền (khởi phát sớm ở tuổi 16-22 hoặc muộn ở 57-60), môi trường (chấn thương, stress, nhiễm trùng, thuốc, bỏng nắng)."
Bệnh bạch hầu,"Bạch hầu là bệnh nhiễm khuẩn do vi khuẩn Corynebacterium diphtheriae gây ra, có thể phòng ngừa bằng vắc-xin. Bệnh tạo giả mạc xám ở đường hô hấp hoặc mũi hầu, gây thở rít, tắc nghẽn, hoặc chảy máu mũi. Độc tố vi khuẩn có thể gây liệt cơ, viêm cơ tim, tổn thương thận, hệ thần kinh, và dẫn đến tử vong (tỷ lệ tử vong khoảng 3%, cao hơn ở trẻ dưới 15 tuổi). Bệnh hiếm gặp ở các nước phát triển nhờ tiêm chủng rộng rãi. Bạch hầu trên da gây đau, đỏ, sưng và loét có màng xám, phổ biến hơn ở vùng nhiệt đới hoặc nơi vệ sinh kém."
Bệnh suy tim,"Suy tim là tình trạng tim suy yếu, không bơm đủ máu cung cấp oxy và dưỡng chất cho cơ thể, gây mệt mỏi, khó thở, và khó khăn trong các hoạt động hàng ngày. Đây là hậu quả của nhiều bệnh tim mạch như bệnh mạch vành, tăng huyết áp, hẹp/hở van tim, bệnh tim bẩm sinh, bệnh cơ tim, hoặc rối loạn nhịp tim. Các yếu tố làm bệnh nặng thêm bao gồm chế độ ăn nhiều muối, không tuân thủ điều trị, nhiễm khuẩn, thiếu máu, hoặc lạm dụng rượu. Suy tim có thể được kiểm soát nếu phát hiện sớm và điều trị kịp thời, giúp kéo dài tuổi thọ và cải thiện chất lượng cuộc sống. Việt Nam ước tính có khoảng 1,6 triệu người mắc bệnh này."
Suy hô hấp,"Suy hô hấp là tình trạng phổi không cung cấp đủ oxy hoặc tích tụ quá nhiều carbon dioxide, dẫn đến giảm oxy máu động mạch và ảnh hưởng đến các cơ quan. Bệnh chia thành hai loại chính: cấp tính (khẩn cấp, cần can thiệp ngay) và mãn tính (lâu dài, khó chữa). Phân loại dựa trên vị trí (đường hô hấp trên/dưới), mức PaCO2 (thiếu oxy/thừa CO2), cơ chế (hệ tuần hoàn/hô hấp), và thời gian (cấp/mãn/cấp trên nền mãn). Thống kê tại Việt Nam: 800.000–900.000 ca bệnh hô hấp mỗi năm do cúm mùa, là nguyên nhân chính gây đợt cấp COPD và suy hô hấp."
Sỏi mật,"Sỏi mật là bệnh lý thường gặp ở các nước nhiệt đới, hình thành trong túi mật hoặc ống mật với kích thước đa dạng. Tuy lành tính, sỏi mật có thể gây biến chứng nguy hiểm như tắc mật, viêm tụy cấp, viêm phúc mạc mật, sốc nhiễm khuẩn, thậm chí tử vong nếu không được điều trị kịp thời. Nguyên nhân không rõ, nhưng các yếu tố nguy cơ bao gồm lối sống (béo phì, ít vận động, chế độ ăn nhiều chất béo), giới tính (nữ giới), tuổi trên 60, tiền sử gia đình, mang thai, hoặc sử dụng một số thuốc. Triệu chứng thường mơ hồ, chỉ rõ ràng khi túi mật bị viêm, bao gồm đau đột ngột vùng dưới sườn phải, buồn nôn, sốt, rét run, rối loạn tiêu hóa. Phòng ngừa bằng tầm soát định kỳ và điều chỉnh lối sống là cần thiết."
Viêm túi mật,"Viêm túi mật là tình trạng nhiễm trùng túi mật, có thể xảy ra đột ngột (cấp tính) hoặc tái phát nhiều lần (mãn tính). Túi mật nằm dưới gan, hỗ trợ tiêu hóa chất béo và vitamin tan trong chất béo. Nguyên nhân chủ yếu là sỏi mật gây tắc nghẽn, dẫn đến vi khuẩn xâm nhập và viêm. Các nguyên nhân khác bao gồm nhiễm trùng (E.coli, thương hàn), ung thư, tắc ống mật, hoặc chấn thương. Viêm túi mật cấp tính là cấp cứu ngoại khoa, nếu không điều trị kịp thời có thể gây biến chứng nguy hiểm như viêm phúc mạc hoặc thủng túi mật."
Gan nhiễm mỡ,"Gan nhiễm mỡ là tình trạng tích tụ chất béo trong gan vượt quá 5-10% trọng lượng gan, gây suy giảm chức năng gan và có thể dẫn đến các biến chứng nghiêm trọng như xơ gan, ung thư gan. Bệnh được chia thành hai loại chính: gan nhiễm mỡ do rượu (ALD, do lạm dụng rượu bia) và gan nhiễm mỡ không do rượu (NAFLD/MASLD, liên quan đến béo phì, tiểu đường, chế độ ăn không lành mạnh, hoặc suy dinh dưỡng). Nguyên nhân bao gồm: Lạm dụng rượu bia. Thừa cân, béo phì, giảm cân quá mức, hoặc suy dinh dưỡng. Chế độ ăn giàu cholesterol, mỡ máu cao, tiểu đường. Tác dụng phụ của một số loại thuốc. Triệu chứng thường không rõ ràng ở giai đoạn đầu, chỉ phát hiện qua siêu âm. Khi bệnh tiến triển, các dấu hiệu như vàng da, mệt mỏi, chán ăn, buồn nôn, hoặc ngứa ngáy có thể xuất hiện. Nếu không điều trị, bệnh có thể dẫn đến xơ gan với các triệu chứng nghiêm trọng hơn như cổ trướng, phù nề. Phòng ngừa cần kiểm soát cân nặng, hạn chế rượu bia, duy trì chế độ ăn lành mạnh, và kiểm tra sức khỏe định kỳ."
